job_id,title,category,skills
1,Accountant,ACCOUNTANT,"Financial Reporting, Tally, SAP, MS Excel, Accounts Payable, Accounts Receivable, Budgeting, Taxation, Auditing, Compliance"
2,Senior Accountant,ACCOUNTANT,"GAAP, Financial Statements, General Ledger, ERP, Budget Forecasting, Tax Preparation, Payroll, Reconciliation, MS Excel, Compliance"
3,Audit Associate,ACCOUNTANT,"Internal Audit, Risk Analysis, Financial Analysis, IFRS, SAP, MS Excel, Taxation, Compliance, Reporting"
4,Legal Advocate,ADVOCATE,"Legal Research, Case Management, Contract Drafting, Litigation, Negotiation, Communication, Compliance, MS Office, Documentation"
5,Corporate Lawyer,ADVOCATE,"Contract Law, Mergers & Acquisitions, Compliance, Due Diligence, Legal Drafting, Negotiation, Research, Stakeholder Management"
6,Public Policy Analyst,ADVOCATE,"Policy Research, Legislative Analysis, Communication, Public Speaking, Report Writing, Stakeholder Engagement, Advocacy"
7,Agriculture Officer,AGRICULTURE,"Crop Management, Soil Science, Irrigation, Agronomy, Field Research, Data Collection, Report Writing, GIS, MS Office"
8,Farm Manager,AGRICULTURE,"Farm Planning, Livestock Management, Budget Management, Supply Chain, Team Leadership, Pest Control, Resource Planning"
9,Agricultural Analyst,AGRICULTURE,"Data Analysis, GIS, Remote Sensing, Statistical Analysis, Crop Forecasting, Python, MS Excel, Report Writing"
10,Fashion Merchandiser,APPAREL,"Visual Merchandising, Trend Analysis, Inventory Management, Buyer Relations, MS Excel, Communication, Brand Management"
11,Apparel Designer,APPAREL,"Fashion Design, Adobe Illustrator, Photoshop, Trend Forecasting, Pattern Making, Product Development, Creativity"
12,Supply Chain Coordinator,APPAREL,"Supply Chain Management, Vendor Management, Inventory Control, MS Excel, ERP, Logistics, Communication, Negotiation"
13,Art Teacher,ARTS,"Teaching, Instructional Design, Curriculum Development, Creativity, Communication, Photoshop, Illustrator, Classroom Management"
14,Creative Director,ARTS,"Creative Direction, Brand Design, Adobe Creative Suite, Illustrator, Photoshop, InDesign, Typography, Team Leadership, UI/UX Design"
15,Graphic Designer,ARTS,"Graphic Design, Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Brand Identity, Visual Communication, Creativity"
16,Automobile Engineer,AUTOMOBILE,"AutoCAD, CATIA, SolidWorks, Mechanical Engineering, Vehicle Testing, Product Design, MS Office, Problem Solving"
17,Service Technician,AUTOMOBILE,"Engine Diagnostics, Vehicle Maintenance, Electrical Systems, Customer Service, Technical Documentation, Problem Solving"
18,Auto Sales Manager,AUTOMOBILE,"Sales Strategy, CRM, Customer Relationship Management, Negotiation, Lead Generation, Communication, MS Excel, Team Leadership"
19,Aviation Engineer,AVIATION,"Aircraft Maintenance, Avionics, AutoCAD, Electrical Systems, Safety Compliance, Technical Documentation, Problem Solving"
20,Flight Operations Officer,AVIATION,"Flight Planning, Air Traffic Management, Safety Compliance, Communication, MS Office, Risk Management, Navigation Systems"
21,Aerospace Systems Analyst,AVIATION,"Systems Engineering, MATLAB, AutoCAD, Simulation, Technical Analysis, Report Writing, Problem Solving, MS Excel"
22,Banking Analyst,BANKING,"Financial Analysis, Risk Analysis, KYC/AML, Credit Assessment, MS Excel, Banking Software, Compliance, Communication"
23,Relationship Manager,BANKING,"Client Management, CRM, Cross-selling, Financial Products, Communication, Negotiation, KYC/AML, MS Excel, Salesforce"
24,Investment Analyst,BANKING,"Equity Research, Valuation, Financial Modelling, Bloomberg, MS Excel, Python, Statistics, Investment Banking, Communication"
25,Credit Risk Analyst,BANKING,"Credit Risk, Risk Analysis, Financial Statements, SQL, SAS, MS Excel, Compliance, Statistical Analysis, Reporting"
26,BPO Operations Manager,BPO,"Operations Management, Team Leadership, Process Improvement, SLA Management, CRM, MS Excel, Communication, Stakeholder Management"
27,Customer Service Lead,BPO,"Customer Service, CRM, Communication, Team Management, Quality Assurance, MS Office, Problem Solving, Conflict Resolution"
28,Process Analyst,BPO,"Process Improvement, Six Sigma, Data Analysis, MS Excel, Reporting, Communication, Stakeholder Management, Documentation"
29,Business Development Manager,BUSINESS-DEVELOPMENT,"Business Development, B2B Sales, Lead Generation, CRM, Salesforce, Market Research, Negotiation, Communication, Strategic Planning"
30,Sales & BD Executive,BUSINESS-DEVELOPMENT,"Sales Strategy, Lead Generation, CRM, HubSpot, Communication, Negotiation, Market Analysis, MS Excel, Client Management"
31,Partnership Manager,BUSINESS-DEVELOPMENT,"Partnership Development, Stakeholder Management, Negotiation, Market Research, Communication, Strategic Planning, CRM"
32,Head Chef,CHEF,"Menu Planning, Food Safety, Kitchen Management, HACCP, Culinary Arts, Team Leadership, Budget Management, Inventory Management"
33,Pastry Chef,CHEF,"Baking, Pastry Arts, Menu Development, Food Safety, Creativity, Inventory Management, Team Collaboration, HACCP"
